drug_name,num_prescriber,total_cost
HARVONI,255,301222361
CRESTOR,7480,137899934
LANTUS SOLOSTAR,5299,110261337
REVLIMID,287,103314529
ADVAIR DISKUS,6370,103182798
SPIRIVA,5626,97065386
JANUVIA,4935,95025205
NEXIUM,5682,87275548
LANTUS,4543,82616399
LYRICA,5571,79719339
ENBREL,338,66185854
ABILIFY,1785,65419620
XARELTO,4014,64500258
GLEEVEC,232,57488688
RENVELA,737,56127975
ZETIA,4223,53250640
SYMBICORT,4270,52961192
COPAXONE,238,52532056
LEVEMIR FLEXTOUCH,2885,51887964
HUMIRA PEN,392,49991428
NAMENDA XR,2509,44215194
SOVALDI,71,42742177
SENSIPAR,690,42126647
NOVOLOG FLEXPEN,2249,41091093
ELIQUIS,2346,40345836
OXYCONTIN,2040,38784899
TRUVADA,329,38775778
LEVOTHYROXINE SODIUM,12212,38678495
INVEGA SUSTENNA,437,36310889
ATORVASTATIN CALCIUM,13528,35442227
HYDROCODONE-ACETAMINOPHEN,14936,35176231
ZYTIGA,164,35157882
DULOXETINE HCL,7496,34594875
RESTASIS,1384,33619246
TECFIDERA,145,32264841
ARIPIPRAZOLE,1370,31244059
XTANDI,140,29519665
METOPROLOL SUCCINATE,10034,28933432
NAMENDA,2537,26717968
PROAIR HFA,8825,25598609
HUMALOG KWIKPEN U-100,1459,25522268
LATUDA,743,25423040
OXYCODONE-ACETAMINOPHEN,8545,25047094
IMBRUVICA,117,24212593
VESICARE,2503,23910511
ATRIPLA,249,23767138
GABAPENTIN,13358,23755028
SEROQUEL XR,1055,22421219
NOVOLOG,1718,22305801
OMEPRAZOLE,13248,21816260
PRADAXA,1765,21726579
VICTOZA 3-PAK,864,21614188
PRAVASTATIN SODIUM,9048,20673083
LUMIGAN,1315,20354963
TAMSULOSIN HCL,8300,20279895
TRADJENTA,1587,19986454
CELECOXIB,3977,19728132
POTASSIUM CHLORIDE,8870,19481800
JANUMET,1527,19033694
H.P. ACTHAR,22,18985787
LETAIRIS,76,18373648
EXELON,1137,18337784
HUMALOG,1598,18316223
LEVEMIR,1420,17948816
COMBIVENT RESPIMAT,2162,17925535
FENOFIBRATE,7649,17771032
DEXILANT,2099,17731292
ISENTRESS,262,17659973
GAMMAGARD LIQUID,47,17525072
RANEXA,1244,17305260
INVOKANA,1190,16783906
JAKAFI,75,16776320
TRACLEER,75,16685151
PREZISTA,236,16484933
BENICAR,2314,16128011
HYDROXYCHLOROQUINE SULFATE,1164,16092130
TRAVATAN Z,1370,15547794
CLOBETASOL PROPIONATE,1871,15363008
GILENYA,93,15239242
FENTANYL,3188,15162239
LIDOCAINE,1430,14802372
VALSARTAN,4941,14228605
HUMIRA,155,14146196
AUBAGIO,66,14116062
FORTEO,232,13724414
MORPHINE SULFATE ER,2696,13653109
STRIBILD,150,13507375
BYSTOLIC,2589,13467921
TARCEVA,99,13301588
XENAZINE,48,13295755
AMLODIPINE BESYLATE,13471,13170973
ADCIRCA,91,12990132
DIVALPROEX SODIUM ER,2061,12880078
SIMVASTATIN,11826,12800191
OXYCODONE HCL,5139,12772140
VIMPAT,550,12743094
INVEGA,412,12722622
REBIF,93,12572176
LISINOPRIL,13876,12408802
OMEGA-3 ACID ETHYL ESTERS,2062,12341490
MYRBETRIQ,1020,12194897
NOVOLOG MIX 70-30 FLEXPEN,733,12074088
AVONEX,102,12009649
XIFAXAN,336,11710330
OPSUMIT,35,11659232
SYNTHROID,4868,11505106
RISPERDAL CONSTA,392,11470243
PREMARIN,2314,11452559
AFINITOR,59,11149435
IBRANCE,57,11121921
CREON,548,11091815
AVONEX PEN,87,10984378
POMALYST,46,10887762
RALOXIFENE HCL,1935,10799063
CLOPIDOGREL,9495,10492147
MULTAQ,612,10472841
WELCHOL,912,10437849
LOSARTAN POTASSIUM,10564,10430546
VOLTAREN,2954,9867864
COMPLERA,128,9657584
AVODART,1256,9513399
LINZESS,1004,9426612
REYATAZ,169,9411779
TASIGNA,61,9221077
EPZICOM,179,9217241
OFEV,46,9041780
METFORMIN HCL,10818,8887475
QUETIAPINE FUMARATE,5405,8769717
AMITIZA,1089,8762302
COMBIGAN,1004,8753279
PANTOPRAZOLE SODIUM,10082,8706991
TIVICAY,132,8696784
WARFARIN SODIUM,8709,8680586
METHOTREXATE,1236,8415058
BENICAR HCT,1351,8402608
SPRYCEL,57,8353177
TRIUMEQ,95,8319125
VIEKIRA PAK,10,8215491
DONEPEZIL HCL,6186,8133593
ALPHAGAN P,772,8103375
VYTORIN,1131,7981479
ONGLYZA,846,7817596
SUBOXONE,363,7751384
ZOSTAVAX,677,7746908
NORVIR,320,7630284
ESOMEPRAZOLE MAGNESIUM,1383,7543639
AZILECT,291,7428756
EFFIENT,614,7390771
FLUTICASONE PROPIONATE,9479,7346742
ULORIC,905,7167756
ANDROGEL,450,7084949
SUBSYS,13,7064369
PROLASTIN C,50,7052243
MONTELUKAST SODIUM,7233,7041604
PREDNISOLONE ACETATE,1123,6995248
DULERA,909,6992169
NUEDEXTA,358,6950790
FLOVENT HFA,1263,6945415
METFORMIN HCL ER,4724,6927796
ENOXAPARIN SODIUM,772,6858895
NEXAVAR,27,6854075
METOPROLOL TARTRATE,11342,6819680
HUMALOG MIX 75-25 KWIKPEN,412,6759508
FUROSEMIDE,12153,6665971
BETASERON,55,6621716
ESBRIET,33,6439713
ORENCIA,80,6418637
ALLOPURINOL,7417,6398116
DOXYCYCLINE HYCLATE,3800,6339700
AGGRENOX,800,6308242
OXYBUTYNIN CHLORIDE ER,3544,6254684
CINRYZE,8,6178936
VIREAD,241,6158332
BD ULTRA-FINE PEN NEEDLE,3738,6128053
NASONEX,1181,6122931
PROCRIT,207,6046238
ABILIFY MAINTENA,142,6005138
LIALDA,353,5933430
AZOPT,481,5868719
TOLTERODINE TARTRATE ER,1338,5815827
DIVALPROEX SODIUM,2852,5755249
HUMULIN 70-30,768,5676152
VICTOZA 2-PAK,514,5671057
AMPYRA,94,5642257
